"Gene","Instability_Score"
"SNORD116-14",0.40376928349142
"MIR6783",0.403755182466453
"SNORA14A",0.403135436601217
"SNORD11",0.401777488083274
"SNORD116-18",0.396777698252294
"SNRPGP15",0.396292298069627
"AC131263.1",0.396276335396731
"RNU1-72P",0.392669837933348
"RNU7-128P",0.391796275332727
"AGR2",0.391412856703152
"NR4A2",0.390999534950704
"USH1C",0.390140196320662
"RNY1",0.389759968551188
"MIR548AR",0.388867794322756
"ADH6",0.387951688255786
"MIR210",0.387257388808552
"RNU6-94P",0.386841681449377
"MIR4258",0.385765042577134
"RNU6ATAC32P",0.385543366455412
"LSP1P3",0.385275683604076
"RP11-534C12.1",0.381500057632989
"MIR6835",0.381091983269313
"MIR4768",0.378975886908488
"ANXA4",0.378536422655603
"VTN",0.376218767169733
"CYP1B1",0.376099224558743
"IGFBP1",0.374107700488084
"CSRNP1",0.373893009798344
"RNU6ATAC18P",0.373767542909803
"C1R",0.373586720333225
"RNU6-48P",0.372656097537324
"SBK2",0.371549848723563
"RP11-427P5.3",0.371505053871052
"ACSS2",0.371027725782465
"MIR302A",0.368034527328234
"MIR4292",0.36759645117412
"AC008641.1",0.367251572667072
"MIR5087",0.366598599752146
"MIR589",0.366582050902958
"MIR656",0.366196994132759
"RNY3P16",0.365281820420684
"RNU7-45P",0.364732450509922
"SNORD116-12",0.364418162286642
"ANG",0.363227268964616
"MIR4263",0.362938150025744
"PKDCC",0.362315202533147
"MIR5093",0.359543567389138
"MIR6895",0.359178626491847
"AC092755.4",0.357795085560754
"RNU6-195P",0.357196422195059
"MIR4669",0.356745280200049
"MIR559",0.356458218224798
"RNU7-18P",0.356310051921809
"SNORA59A",0.354045805624828
"MIR6776",0.353527269668214
"INSL4",0.353328318280257
"MIR4672",0.349241497270532
"RNA5SP282",0.348883444791934
"MIR98",0.347707939611841
"MIR1915",0.346897575019905
"RNU6-62P",0.346346251477027
"RNU6-780P",0.346141125987372
"RNA5SP490",0.346051108537213
"S100P",0.345401130370092
"RNA5SP383",0.344678573136394
"RP5-1052M9.1",0.344266850495438
"SNORA71C",0.343957358302468
"LXN",0.343102106049332
"MIR6730",0.342954594571362
"RP11-334C17.6",0.341745426767137
"RP3-406A7.7",0.34142689077589
"RNA5SP18",0.341269538139019
"SNORA2C",0.340942323003283
"RNU6-50P",0.339893909410338
"RP11-95P2.3",0.339017423968926
"GLUD1P8",0.33740323200803
"RP11-98D18.3",0.336549784550398
"AC018696.4",0.336428008733988
"SCARNA4",0.33596255893314
"RNU6-30P",0.335129105866591
"MIR6865",0.334808606681197
"SNORD116-19",0.333257224867854
"RP4-616B8.4",0.333176364862426
"AC108463.1",0.33291031270277
"RNU4-39P",0.332857292286746
"MUC13",0.331596852517547
"MIR6739",0.32999230665305
"RP11-14C10.4",0.329533065207864
"ELANE",0.329455466462763
"GJB1",0.32938936501105
"AC068831.3",0.329284056298664
"AC079907.1",0.328522781831818
"RP11-312B8.1",0.327338472969107
"SLC23A1",0.326483637993399
"MIR6784",0.326269599501843
"MSMO1",0.326211706561223
"AC069257.6",0.32441540967901
"RP11-701H24.3",0.323854604905679
"SNORD69",0.323355463042024
"CELSR3-AS1",0.322184882092609
"RP11-156K13.1",0.321640413800889
"ADH1C",0.320495911702521
"MIR302C",0.319782878783209
"GDF15",0.319646366355521
"MIR7111",0.318848955667951
"XBP1",0.318261066195926
"TRAPPC6A",0.317832074080943
"MIR2116",0.316957120345439
"RP11-576C12.1",0.316904999837768
"SNORA28",0.316522605185746
"MIR641",0.315623397636122
"SNORD59A",0.314805299704933
"RNU6-90P",0.314667154118898
"MIR4737",0.314195157538373
"C1S",0.313484938245672
"RP11-831H9.3",0.312775184018103
"MIR302D",0.311934278177317
"MT1X",0.311559751828558
"RP11-542K23.7",0.309419397162457
"CH507-513H4.3",0.307892074666519
"SNORD116-13",0.306939782207859
"SNORD114-10",0.306436489406243
"MIR4312",0.305590258011399
"MIRLET7A2",0.304415085258157
"SERPINA6",0.304166030436631
"MIR548E",0.304139821941644
"SPDEF",0.301803690982102
"CDK2AP2P2",0.301781660267639
"MIR4284",0.299972867423847
"RNU1-106P",0.299193555637528
"RP11-732A21.3",0.299010426568758
"SNORD89",0.298889082178321
"RP11-274B21.4",0.296938012818861
"CIDEC",0.296757455832771
"AC108463.2",0.296558551351124
"RNU6-883P",0.296055769352161
"CD24P4",0.295635112159851
"AC090154.1",0.295394730727257
"RP1-120G22.11",0.295000440680555
"RPPH1",0.294608937149607
"RP11-248J18.3",0.294287135846749
"AC084117.3",0.294224913140665
"RP11-861E21.1",0.293706120468382
"CTD-2031P19.4",0.293665541712549
"HSPA1B",0.293646179291548
"SNORD12B",0.293473776191361
"RP11-145M9.6",0.293231229981017
